iteration,train_loss,val_loss,clustering_loss,val_clustering_loss,reconstruction_loss,val_reconstruction_loss,train_acc,val_acc,train_nmi,val_nmi,train_ari,val_ari
0,0.10164476186037064,0.1022607833147049,0.0001873127621365711,0.0019477482419461012,0.10145744681358337,0.10031303763389587,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
1,0.09574835747480392,0.08589453250169754,0.0020096879452466965,0.00073811603942886,0.09373866766691208,0.08515641838312149,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
2,0.09001357108354568,0.08780521154403687,0.0007678475230932236,0.0012333255726844072,0.08924572169780731,0.08657188713550568,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
3,0.08843573927879333,0.09302204847335815,0.0011670864187180996,0.0007487252587452531,0.0872686505317688,0.09227332472801208,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
4,0.10248751193284988,0.09657134860754013,0.0008512636413797736,0.00021643692161887884,0.10163624584674835,0.0963549092411995,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
5,0.09515330195426941,0.09090103954076767,0.00027532887179404497,0.00019346876069903374,0.09487797319889069,0.09070757031440735,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
6,0.09446057677268982,0.08845284581184387,0.00018616998568177223,0.0003512522089295089,0.09427440911531448,0.0881015956401825,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
7,0.08751287311315536,0.0806075781583786,0.00045259977923706174,0.00042223522905260324,0.08706027269363403,0.08018534630537033,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
8,0.08952745795249939,0.08465439081192017,0.0004302776651456952,0.0003076563880313188,0.08909717947244644,0.08434673398733139,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
9,0.08542380481958389,0.0853550136089325,0.00029350080876611173,0.00019383184553589672,0.08513030409812927,0.08516117930412292,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
10,0.0810246542096138,0.0720924511551857,0.0002847944269888103,0.00019867053197231144,0.08073986321687698,0.07189378142356873,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
11,0.08061989396810532,0.08250069618225098,0.00016186237917281687,0.00012997588783036917,0.08045803010463715,0.08237072080373764,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
12,0.08150972425937653,0.07829421758651733,0.00013474936713464558,0.00016752866213209927,0.08137497305870056,0.0781266912817955,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
13,0.06748663634061813,0.06412877142429352,0.0001815050927689299,0.00016625906573608518,0.06730513274669647,0.06396251171827316,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
14,0.06588570028543472,0.055529385805130005,0.00017676489369478077,0.0002008368173846975,0.0657089352607727,0.055328547954559326,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
15,0.0617833212018013,0.04776497930288315,0.00022054411238059402,0.00023054180201143026,0.06156277656555176,0.047534435987472534,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
16,0.05846752971410751,0.057919565588235855,0.0002475311339367181,0.0002325736713828519,0.05821999907493591,0.05768699198961258,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
17,0.06476470828056335,0.050346653908491135,0.00023647877969779074,0.0002230902318842709,0.06452822685241699,0.05012356489896774,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
18,0.05667004734277725,0.048673179000616074,0.00022808517678640783,0.00021148593805264682,0.05644196271896362,0.04846169427037239,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
19,0.05171845108270645,0.04416871815919876,0.0002651203831192106,0.00017534199287183583,0.051453329622745514,0.043993376195430756,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
20,0.0426015742123127,0.04150651767849922,0.00021539336012210697,0.00020295579452067614,0.04238618165254593,0.04130356013774872,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
21,0.03900390490889549,0.039631761610507965,0.00019925474771298468,0.0002224679192295298,0.03880465030670166,0.039409294724464417,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
22,0.04100799188017845,0.04148421436548233,0.0001968317956198007,0.00021749691222794354,0.04081115871667862,0.04126671701669693,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
23,0.03876494616270065,0.03889261186122894,0.00014455016935244203,0.00017353819566778839,0.038620397448539734,0.03871907293796539,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
24,0.0396365262567997,0.03438697010278702,0.00022692787752021104,0.00017967144958674908,0.03940960019826889,0.0342072993516922,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
25,0.03834220767021179,0.03446273133158684,0.00018119451124221087,0.00021681527141481638,0.0381610132753849,0.034245915710926056,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
26,0.03166300430893898,0.031788215041160583,0.00016285930178128183,0.00016047514509409666,0.03150014579296112,0.03162774071097374,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
27,0.029412470757961273,0.03070594184100628,0.00020874946494586766,0.00019667812739498913,0.02920372039079666,0.030509263277053833,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
28,0.0316641740500927,0.03079104982316494,0.00015951096429489553,0.000212908344110474,0.031504664570093155,0.030578142032027245,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
29,0.03175315260887146,0.03250040113925934,0.00023442519886884838,0.00016434771532658488,0.03151872754096985,0.032336052507162094,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
30,0.030959097668528557,0.028446439653635025,0.00017186783952638507,0.00015736387285869569,0.030787229537963867,0.028289075940847397,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
31,0.027120716869831085,0.02709788642823696,0.00015293023898266256,0.00018186913803219795,0.026967786252498627,0.02691601775586605,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
32,0.026160189881920815,0.025561878457665443,0.00019443908240646124,0.00016746940673328936,0.025965750217437744,0.025394409894943237,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
33,0.026576805859804153,0.02507166936993599,0.00020693163969554007,0.0001703858724795282,0.02636987343430519,0.024901283904910088,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
34,0.029051197692751884,0.02575429528951645,0.00016280909767374396,0.00014407807611860335,0.028888389468193054,0.025610217824578285,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
35,0.023964092135429382,0.023029107600450516,0.000170078084920533,0.0001778267469489947,0.023794014006853104,0.022851280868053436,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
36,0.02348926290869713,0.023395061492919922,0.0001607954764040187,0.00015118761803023517,0.023328468203544617,0.023243874311447144,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
37,0.023717191070318222,0.0207288209348917,0.00018569169333204627,0.00014241148892324418,0.02353150025010109,0.02058640867471695,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
38,0.022575698792934418,0.020997071638703346,0.00017136632231995463,0.00015208232798613608,0.02240433171391487,0.020844988524913788,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
39,0.022600360214710236,0.02047199383378029,0.00016859560855664313,0.0001503930689068511,0.022431764751672745,0.020321600139141083,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
40,0.021403208374977112,0.021106939762830734,0.00015671507571823895,0.00015622185310348868,0.021246492862701416,0.020950717851519585,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
41,0.022439591586589813,0.021074524149298668,0.00016459809558000416,0.00015249589341692626,0.022274993360042572,0.02092202752828598,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
42,0.020619098097085953,0.01805178076028824,0.00016059329209383577,0.0001508517743786797,0.020458504557609558,0.017900928854942322,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
43,0.022238608449697495,0.01986883021891117,0.00015498854918405414,0.00018111043027602136,0.022083619609475136,0.019687719643115997,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
44,0.01970984973013401,0.017958171665668488,0.0001457927719457075,0.0001393072889186442,0.019564056769013405,0.017818864434957504,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
45,0.01743330806493759,0.018055714666843414,0.00017375762399751693,0.00013534171739593148,0.01725955121219158,0.017920373007655144,0.36107,0.37791,0.01052,0.02151,-0.00122,-0.00054
