iteration,train_loss,val_loss,clustering_loss,val_clustering_loss,reconstruction_loss,val_reconstruction_loss
0,0.0010780731681734324,0.0012442911975085735,9.261774539481848e-05,7.634568464709446e-05,0.0010771469678729773,0.0012435277458280325
1,0.0011613299138844013,0.0010393469128757715,7.773717516101897e-05,6.533182749990374e-05,0.001160552492365241,0.0010386935900896788
2,0.0012521949829533696,0.0011514098150655627,8.656040154164657e-05,6.937044236110523e-05,0.0012513294350355864,0.001150716096162796
3,0.0010847875382751226,0.0010895910672843456,7.825863576726988e-05,5.8326924772700295e-05,0.001084004994481802,0.0010890078265219927
4,0.001074708066880703,0.0012849202612414956,7.299231947399676e-05,6.491425301646814e-05,0.001073978142812848,0.0012842711294069886
5,0.0012078434228897095,0.0011312342248857021,6.399484118446708e-05,7.056775211822242e-05,0.0012072034878656268,0.0011305285152047873
6,0.0011084317229688168,0.0011809509014710784,9.349336323793977e-05,7.889632252044976e-05,0.0011074967915192246,0.0011801619548350573
7,0.0011307053500786424,0.0011895706411451101,7.103050302248448e-05,6.0978083638474345e-05,0.0011299951002001762,0.0011889608576893806
8,0.0010445452062413096,0.001135286525823176,6.390480120899156e-05,7.844815263524652e-05,0.0010439062025398016,0.0011345020029693842
9,0.001012571738101542,0.0011811585864052176,8.169451029971242e-05,8.089836046565324e-05,0.0010117547353729606,0.0011803496163338423
10,0.0012569822138175368,0.001106402836740017,9.38406737986952e-05,6.944056076463312e-05,0.00125604378990829,0.0011057084193453193
11,0.0011252447729930282,0.0010814131237566471,7.398327579721808e-05,6.258096982492134e-05,0.001124504953622818,0.0010807872749865055
12,0.0010786302154883742,0.0011495775543153286,8.505220466759056e-05,8.432538015767932e-05,0.0010777796851471066,0.0011487343581393361
13,0.0011072581401094794,0.0010559373768046498,8.42492445372045e-05,7.825915236026049e-05,0.001106415642425418,0.0010551548330113292
14,0.0012127220397815108,0.0011961712734773755,5.0081223889719695e-05,7.066182297421619e-05,0.0012122212210670114,0.001195464632473886
15,0.0011076375376433134,0.0011452388716861606,9.658560156822205e-05,6.908613431733102e-05,0.0011066716397181153,0.0011445480631664395
16,0.0010477727046236396,0.0010129958391189575,7.970665319589898e-05,6.063043838366866e-05,0.0010469756089150906,0.0010123895481228828
17,0.0012173251016065478,0.001232408219948411,8.511950727552176e-05,6.268266588449478e-05,0.0012164738727733493,0.0012317814398556948
18,0.0008790695574134588,0.0011636670678853989,8.264531788881868e-05,6.588055839529261e-05,0.0008782431250438094,0.0011630082735791802
19,0.0011649287771433592,0.001118162996135652,6.296431092778221e-05,7.970191654749215e-05,0.0011642990866675973,0.0011173660168424249
